Season,Name,Age,Hometown,Occupation,Outcome
7,Grant Ellis,TBA,"January 27, 2025(2025-01-27)",TBA,TBA
8,Alex Michel,7,"March 25, 2002(2002-03-25)","April 25, 2002(2002-04-25)",—
8,Aaron Buerge,9,"September 25, 2002(2002-09-25)","November 20, 2002(2002-11-20)",—
8,Andrew Firestone,10,"March 26, 2003(2003-03-26)","May 21, 2003(2003-05-21)",—
8,Bob Guiney,10,"September 24, 2003(2003-09-24)","November 20, 2003(2003-11-20)",—
8,Jesse Palmer,9,"April 7, 2004(2004-04-07)","May 26, 2004(2004-05-26)",—
8,Byron Velvick,10,"September 22, 2004(2004-09-22)","November 24, 2004(2004-11-24)",—
8,Charlie O'Connell,8,"March 28, 2005(2005-03-28)","May 16, 2005(2005-05-16)",—
8,Travis Lane Stork,8,"January 9, 2006(2006-01-09)","February 27, 2006(2006-02-27)",57
8,Lorenzo Borghese,8,"October 2, 2006(2006-10-02)","November 27, 2006(2006-11-27)",83
8,Andrew Baldwin,9,"April 7, 2007(2007-04-07)","May 22, 2007(2007-05-22)",52
8,Brad Womack,10,"September 24, 2007(2007-09-24)","November 20, 2007(2007-11-20)",49
8,Matt Grant,9,"March 17, 2008(2008-03-17)","May 12, 2008(2008-05-12)",85
8,Jason Mesnick,11,"January 5, 2009(2009-01-05)","March 3, 2009(2009-03-03)",24
8,Jake Pavelka,10,"January 4, 2010(2010-01-04)","March 1, 2010(2010-03-01)",23
8,Brad Womack,12,"January 3, 2011(2011-01-03)","March 14, 2011(2011-03-14)",35
8,Ben Flajnik,12,"January 2, 2012(2012-01-02)","March 12, 2012(2012-03-12)",49
8,Sean Lowe,13,"January 7, 2013(2013-01-07)","March 11, 2013(2013-03-11)",41
8,Juan Pablo Galavis,12,"January 6, 2014(2014-01-06)","March 10, 2014(2014-03-10)",32
8,Chris Soules,13,"January 5, 2015(2015-01-05)","March 9, 2015(2015-03-09)",46
8,Ben Higgins,12,"January 4, 2016(2016-01-04)","March 14, 2016(2016-03-14)",41
8,Nick Viall,13,"January 2, 2017(2017-01-02)","March 13, 2017(2017-03-13)",33
8,Arie Luyendyk Jr.,12,"January 1, 2018(2018-01-01)","March 6, 2018(2018-03-06)",47
8,Colton Underwood,12,"January 7, 2019(2019-01-07)","March 12, 2019(2019-03-12)",47
8,Peter Weber,12,"January 6, 2020(2020-01-06)","March 10, 2020(2020-03-10)",35
8,Matt James,12,"January 4, 2021(2021-01-04)","March 15, 2021(2021-03-15)",37
8,Clayton Echard,12,"January 3, 2022(2022-01-03)","March 15, 2022(2022-03-15)",53
8,Zach Shallcross,11,"January 23, 2023(2023-01-23)","March 27, 2023(2023-03-27)",63
8,Joey Graziadei,11,"January 22, 2024(2024-01-22)","March 25, 2024(2024-03-25)",TBA
8,Grant Ellis,TBA,"January 27, 2025(2025-01-27)",TBA,TBA
9,Jennifer Wilson,24,"Pembroke Pines, Florida",Teacher,Winner
9,Sadie Murray,23,"Carlsbad, California",Publicist,Week 7
9,Lisa Blank,25,"Portland, Oregon",Marketing manager,Week 6
9,Agnese Polliza,24,"Venice, Italy",Student,Week 5
9,Desiree Valentin,22,"Salt Lake City, Utah",Realtor,Week 4
9,Erica Rose,23,"Houston, Texas",Attorney,Week 3
9,Ellen DeMaio,30,"New Haven, Connecticut",Realtor,Week 2
9,April Jacobs,23,"Hyde Park, Chicago, Illinois",Model,Week 1
10,Tessa Horst,26,"San Francisco, California",Social Worker,Winner
10,Bevin Nicole Powers,28,"Palo Alto, California",Assistant,Week 8
10,Danielle Imwalle,25,"Bethel, Connecticut",Graphic Designer,Week 7
10,Amber Alchalabi,23,"Sugar Land, Texas",Teacher,Week 6
10,Stephanie Wilhite,23,"Overland Park, Kansas",Project Manager,Week 5
10,Kate Brockhouse,24,"Ravenel, South Carolina",Boutique owner,Week 4
10,Amanda Hackney,26,"Dallas, Texas",Financial analyst,Week 3
10,Alexis Young,26,"Southlake, Texas",Attorney,Week 2
10,Blakeney Rowe,29,"Birmingham, Alabama",Radio sales,Week 1
11,DeAnna Pappas[1],25,"Newnan, Georgia",Realtor,Co-runners-up
11,Bettina Bell[2],27,"Washington, D.C.",Realtor,Week 7
11,Sheena Stewart[3],23,"Walnut Creek, California",Internet marketing executive,Week 6
11,Hillary Reisinger[4],27,"Philadelphia, Pennsylvania",Registered nurse,Week 5
11,McCarten Delaney[6][7],26,"Lemon Grove, California",Account manager,Week 4
11,Jade Beazley[8],24,"Nashville, Tennessee",Boutique sales worker,9
11,Lindsey Hawkins,25,"Livonia, Michigan",Model,Week 3
11,Erin Gardner,25,"Tampa, Florida",Publishing sales executive,Week 2
11,Jessica Kiss,27,"Lady Lake, Florida",News anchor,Week 1
12,Shayne Lamas[2],22,"Malibu, California",Actress,Winner
12,Chelsea Wanstrath[2],25,"Durango, Colorado",Pharmaceutical sales rep.,Runner-up
12,Amanda Rantuccio[2],27,"Niceville, Florida",Account Executive,Week 7
12,Noelle Drake[3],26,"Loveland, Colorado",Photographer,Week 6
12,Marshana Ritchie[4],27,"Brooklyn, New York",Fashion designer,Week 5
12,Ashlee Williss[5],22,"Jacksonville Beach, Florida",Singer-songwriter,Week 4
12,Holly Durst[6][7],24,"Suffield, Ohio",Children's book author,9
12,Amy Bean,22,"Stockton, California",Nanny,Week 3
12,"Caroline ""Carri"" Perrier[9][10]",25,"Oklahoma City, Oklahoma",Church marketing rep.,Week 2
12,Alyssa Johnson,24,"Boise, Idaho",Biology student,Week 1
13,Melissa Rycroft[9],25,"Dallas, Texas",Sales Representative,Winner
13,Molly Malaney[10],24,"Brookfield, Wisconsin",Department Store Buyer,Runner-Up
13,Jillian Harris,29,"Peace River, Alberta",Interior Designer,Week 7
13,Naomi Crespo[11],24,"Carlsbad, California",Flight Attendant,Week 6
13,Stephanie Hogan[12],34,"Huntsville, Alabama",Medical Marketing Representative,Week 5
13,Lauren Wanger,27,"Marlboro, New Jersey",Teacher,Week 4
